 	0033-0090	0034-0100	0044-0097	0039-0114	0049-0112	0047-0122	0043-0085	0036-0075	0032-0083	0045-0061	0041-0068	0033-0068	0093-0099	0092-0107	0080-0045	0094-0062	0042-0038	0051-0043	0061-0043	0070-0037	0078-0031	0062-0035	0054-0035	0088-0045	0083-0037	0094-0070	0095-0077	0099-0084	0074-0051	0073-0042	0066-0050	0052-0055	0079-0059	0087-0054	0048-0075	0053-0080	0054-0088	0054-0070	0056-0063	0061-0055	0061-0067	Average	Err
39	18737.308	6333.362	18841.331	6986.443	18206.877	52814.128	32303.272	17334.861	19671.222	25446.643	22297.012	2668.202	16315.551	8096.594	9102.722	16447.944	7393.365	13893.508	20593.673	10190.808	13874.881	4711.121	4923.752	11467.452	4837.209	10169.029	23746.456	55519.584	4830.905	9704.221	16290.333	17936.933	4701.378	7427.466	17899.393	15975.972	21037.561	21146.169	14103.559	14943.194	8554.524	15792.095	1710.901
40	17778.176	5906.381	17970.748	7442.367	18569.381	52759.107	28665.622	16203.218	19281.780	22496.175	20544.384	2524.633	16482.332	7894.853	8400.639	15915.220	7792.549	13117.204	15804.893	8499.504	13399.757	4219.089	4513.105	11765.193	4497.344	10414.614	23513.765	54663.902	3970.065	7546.390	10862.801	14227.355	4104.464	7895.999	15745.001	12165.524	16258.238	16579.190	12040.008	10474.793	6463.463	14374.859	1675.406
41	16537.639	5963.408	16136.735	7251.515	18854.226	51836.943	25845.827	15964.509	18660.509	22593.033	16624.754	2578.221	18474.528	7544.098	8837.363	15642.411	7253.521	12919.475	15352.981	8563.694	13556.221	4462.669	4329.703	12473.007	4518.549	10926.705	23451.294	57478.252	3692.957	7456.695	10681.979	14562.636	4453.499	7884.536	14790.741	13448.473	16743.965	15358.999	11356.265	10856.783	7028.855	14218.248	1681.212
42	15391.380	5947.074	16378.882	6850.325	17836.062	52303.470	25926.639	13675.719	17600.220	21264.807	16129.571	2036.901	17838.355	8198.038	7688.526	15412.013	6866.946	11554.282	12774.473	9545.178	13605.510	3693.530	4180.403	10710.062	4719.145	10968.544	22914.845	55779.211	3942.841	7878.805	10203.130	14016.444	4520.555	7209.104	13575.135	12662.427	15192.791	15457.863	11145.067	9735.456	6647.724	13657.987	1660.268
43	18061.589	5826.716	16224.710	5907.814	15973.106	50273.160	26743.921	15328.336	19608.177	21151.614	17614.835	2264.433	16816.466	7547.250	7209.963	14813.093	7351.813	12503.956	13333.847	8189.154	12814.879	3888.107	3642.522	10314.890	4464.389	9716.830	22341.716	55474.593	3668.026	6589.838	8804.408	13230.684	3878.078	7133.451	14874.991	13008.023	16283.169	16526.176	11682.662	9590.455	6153.687	13581.110	1654.730
44	19868.378	5764.532	15213.137	6144.230	15550.424	50844.283	30013.622	15541.254	18988.052	22116.190	16502.105	2443.536	17768.433	8118.373	8801.543	15703.163	7102.788	12073.536	14110.437	8397.487	13384.283	3702.987	4219.949	11499.548	4818.296	10811.506	22846.643	55226.715	4969.029	7232.889	11255.681	14452.882	4626.871	7998.875	18146.985	12382.453	13543.899	22059.164	12576.744	11625.350	10294.544	14359.531	1657.252
45	21324.412	5753.642	15162.702	6390.962	16787.809	51874.196	31337.263	16463.705	19498.423	21828.479	19884.426	2299.967	16762.019	8390.323	7911.473	15119.431	7048.054	12168.103	15407.715	8575.443	12854.138	3920.776	4452.926	11000.639	5010.581	10469.635	21927.344	56342.597	3906.161	6505.874	10745.883	13212.344	4304.486	7976.523	17003.019	13261.919	16815.606	21225.834	11656.872	10678.540	8105.477	14423.554	1710.544
46	22077.504	5028.061	15208.839	6599.008	16000.043	50319.297	30183.268	15140.350	18415.496	21126.969	19119.012	2377.339	17357.213	7867.342	8874.617	15085.616	6679.819	12115.661	15912.641	9179.235	13990.940	3917.050	4497.917	11372.886	4899.967	10504.596	23448.715	55384.325	4045.145	6769.227	12092.736	15151.239	4398.765	8216.378	15758.470	12852.992	17998.831	19987.589	11403.262	10282.508	8481.450	14393.227	1664.792
47	22305.036	5460.487	15853.609	5930.739	15329.196	52388.293	27400.440	15865.645	18912.972	19927.410	20300.231	2626.937	17123.663	7566.450	8981.505	15258.701	6931.423	12397.927	16744.252	9603.923	13653.367	4542.334	4183.269	12251.206	4394.467	10303.141	23342.686	55028.698	3918.197	6990.741	11592.395	16273.426	4685.043	7959.330	14714.228	11418.736	16257.665	15314.581	11309.555	13020.346	6611.903	14260.345	1668.390
48	19733.120	5400.022	15536.382	5750.204	14373.790	51561.841	27088.658	16325.294	18339.270	20793.408	21962.591	2148.088	17152.319	7962.482	9129.373	14703.052	7406.260	14924.567	18628.700	9876.733	13363.363	4646.644	4313.656	12531.467	4419.685	11252.816	22145.706	54421.468	4767.861	6717.072	13984.922	16029.273	4561.247	8448.782	14826.562	10820.963	14691.590	13662.250	11265.138	13883.764	6271.751	14288.345	1637.629
49	17782.188	4920.886	15733.825	6150.248	15094.786	50413.290	26504.926	15624.357	17994.819	19123.310	19580.667	2463.882	17332.282	7827.223	8015.210	14986.751	7296.792	11183.467	16371.145	8713.567	13320.092	4503.075	4106.183	11012.961	4850.105	10425.504	23626.385	55587.786	3453.102	6525.934	9719.982	13036.107	4247.459	7036.019	14607.913	10882.288	13751.372	14767.243	11224.159	11614.460	5963.121	13594.509	1646.021
50	17907.990	5529.836	15030.882	6051.096	14884.734	51405.090	28687.115	16378.309	19438.245	20279.025	19384.657	2378.772	17889.937	8010.052	7122.275	16359.109	6727.389	11591.535	14661.214	9410.206	13487.159	4057.467	3879.224	10126.904	4329.990	10533.252	22522.539	53515.351	3701.840	6706.756	10500.297	11926.815	4425.129	7687.953	11321.878	12927.212	16846.842	14258.877	10224.049	9240.273	6032.756	13594.635	1647.616
51	17092.141	5524.964	15131.753	5594.313	14233.373	50909.620	26447.040	15046.357	17808.839	20424.886	19313.302	2137.771	16621.888	8408.376	7500.826	15363.584	7513.722	12875.057	17663.264	9260.906	13137.550	4327.984	4246.313	10052.683	4085.550	10440.119	22319.937	54309.995	3874.352	6262.008	11205.532	13274.528	4560.674	8518.417	15421.470	12364.399	13371.101	15444.968	11378.331	10877.989	6766.361	13685.665	1623.365
52	16422.440	5273.933	14864.961	5047.834	14488.129	51434.606	26202.314	14217.899	16905.874	20171.563	20501.399	2135.765	16894.698	8026.672	8573.151	15528.645	7001.631	12088.151	17443.756	9490.444	14201.851	4738.631	4045.718	11656.872	4887.931	10002.535	23183.929	54729.812	4209.633	6843.161	11635.093	12106.491	4050.876	8251.625	14043.954	9655.218	12648.098	14733.428	10745.596	10847.900	7286.190	13590.693	1636.981
53	16817.612	5529.549	15012.542	5512.069	14282.949	51831.785	25782.210	15404.562	16824.490	19273.183	21038.134	2182.762	17713.413	8123.531	7592.814	15111.120	7219.707	12811.727	16037.870	8407.516	14085.219	4722.870	3868.621	10654.469	3985.253	11004.651	23315.463	55344.493	4015.342	6333.076	10350.137	13206.899	4385.297	7468.731	15082.177	12779.058	14001.829	14398.148	10786.002	10738.432	6902.480	13657.029	1655.207
54	15316.587	5251.008	14743.745	5806.657	13807.538	51313.676	24033.020	14216.752	16034.718	18759.946	19071.155	2253.543	16352.804	7834.674	7336.338	14967.552	6803.615	11740.262	17127.388	8736.493	13563.958	4245.740	4221.382	11184.613	4774.165	10383.952	22949.806	54970.812	3610.140	6270.891	10282.795	12386.465	4195.305	7409.985	14383.246	10768.235	12496.506	14723.399	10457.026	10804.056	6245.960	13215.510	1629.455
55	15684.536	4772.159	13578.573	5702.921	13505.786	50637.670	24355.692	15759.616	17109.335	18314.625	18968.565	2200.816	17551.217	8099.746	6149.675	16028.127	6987.876	11692.406	16122.120	8923.619	13597.487	4143.436	3766.031	10011.991	4407.935	10994.621	22702.215	54440.668	3892.406	6224.755	10120.313	11845.144	4230.839	7632.646	17494.477	11483.214	10279.929	16713.876	11462.294	11047.922	6917.381	13306.211	1624.073
56	16182.872	5731.864	15783.114	5966.846	14984.459	50852.307	25321.128	16429.031	16688.085	18325.801	18576.259	2697.718	17848.671	8057.335	7204.519	15883.412	6855.196	14208.729	17961.005	8971.762	13439.016	4217.943	5140.681	10841.882	4664.124	10751.901	23736.426	57093.109	4347.757	6099.526	10767.089	13283.985	4813.997	7277.593	17690.774	10067.012	12881.075	16452.242	9918.285	11176.303	6929.417	13807.811	1661.419
